method,seed,auc_final,auc_early
RBPF-Full,0,0.7380,0.4527
RBPF-Full,1,0.6110,0.4017
RBPF-Full,2,0.6754,0.6324
RBPF-Full,3,0.6446,0.5484
RBPF-Full,4,0.6401,0.5047
RBPF-NoRot,0,0.1617,0.4716
RBPF-NoRot,1,0.1062,0.4593
RBPF-NoRot,2,0.1082,0.5826
RBPF-NoRot,3,0.1156,0.5227
RBPF-NoRot,4,0.1597,0.4761
RBPF-2Mode,0,0.6366,0.4506
RBPF-2Mode,1,0.5545,0.4180
RBPF-2Mode,2,0.6130,0.6322
RBPF-2Mode,3,0.6076,0.5462
RBPF-2Mode,4,0.5347,0.5053
PF,0,0.7126,0.4705
PF,1,0.5920,0.3814
PF,2,0.6736,0.6080
PF,3,0.6413,0.5621
PF,4,0.6735,0.4662
EKF,0,0.0677,0.4389
EKF,1,0.0459,0.4705
EKF,2,0.0504,0.5854
EKF,3,0.0370,0.5161
EKF,4,0.0473,0.5281
LR-k5,0,0.6235,0.6235
LR-k5,1,0.3082,0.3082
LR-k5,2,0.5344,0.5344
LR-k5,3,0.3449,0.3449
LR-k5,4,0.5560,0.5560
